City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
590,Kanigoro,ID,84.94,light rain,-8.13,112.219,Musafer Villa ( Villa Erlin )
592,Boyolangu,ID,84.34,scattered clouds,-8.1181,111.8935,Yos ega cv
596,Cockburn Town,TC,77.9,clear sky,21.4612,-71.1419,Osprey Beach Hotel
597,Saint-Pierre,RE,75.29,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
598,Ifo,NG,82.02,overcast clouds,6.8144,3.1958,Footed Hotel and Suites
602,Myitkyina,MM,81.27,few clouds,25.3833,97.4,Shwe Phyu Hotel
603,Boa Vista,BR,82.38,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
606,Kaifeng,CN,75.74,broken clouds,34.7911,114.3483,Pullman Kaifeng Jianye
610,Waingapu,ID,85.39,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
612,Jalu,LY,78.4,clear sky,29.0331,21.5482,صاحبة الفخامة
615,Omboue,GA,77.38,overcast clouds,-1.5746,9.2618,Hotel Olako
616,Sorong,ID,86.56,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
622,Kandrian,PG,85.23,light rain,-6.2167,149.55,Kandrian Station
634,La Libertad,EC,75.07,few clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
647,Matara,LK,80.62,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
649,Mogadishu,SO,80.47,scattered clouds,2.0371,45.3438,Hotel Juba
651,Tautira,PF,82.71,light rain,-17.7333,-149.15,Pension Oaoa
652,Bubaque,GW,76.8,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
655,Dhidhdhoo,MV,83.12,scattered clouds,6.8833,73.1,Dhidhoo beach
657,Bosaso,SO,77.83,clear sky,11.2842,49.1816,Red Sea Hotel
658,Ugoofaaru,MV,83.21,clear sky,5.6667,73.0,Ungoofaaru Inn
662,Soyo,AO,77.61,overcast clouds,-6.1349,12.3689,Hotel Mpampa
667,Saint-Leu,RE,76.03,light rain,-21.15,55.2833,La Caz Oceane
674,Swan Hill,AU,78.39,clear sky,-35.3378,143.5544,Lazy River Motor Inn
677,Gouyave,GD,77.77,few clouds,12.1646,-61.7296,Rumboat Retreat
