City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Kerrobert,CA,51.9168,-109.1348,48.25,64,100,19.71,overcast clouds
309,Andradina,BR,-20.8961,-51.3794,71.92,83,12,5.75,few clouds
310,Yumen,CN,40.2833,97.2,60.01,11,0,3.98,clear sky
311,Umm Lajj,SA,25.0213,37.2685,75.36,62,0,6.85,clear sky
312,Nokaneng,BW,-19.6667,22.2667,66.42,85,40,5.35,scattered clouds
313,Katherine,AU,-14.4667,132.2667,91.72,49,40,9.22,scattered clouds
314,Matam,SN,15.6175,-13.3303,76.69,34,5,15.59,clear sky
315,Zhezkazgan,KZ,47.8043,67.7144,49.98,57,0,13.42,clear sky
316,Ostersund,SE,63.1792,14.6357,20.61,93,100,4.0,overcast clouds
317,Prince Rupert,CA,54.3161,-130.3201,40.69,87,100,8.05,light rain
318,Pandan,PH,14.0453,124.1694,80.64,87,100,16.31,overcast clouds
319,Thompson,CA,55.7435,-97.8558,35.76,51,0,3.44,clear sky
320,Junin,AR,-34.5838,-60.9433,52.29,39,5,7.27,clear sky
321,Kilindoni,TZ,-7.9139,39.6668,81.61,76,6,4.32,clear sky
322,Khorixas,NA,-20.3667,14.9667,60.98,62,1,1.12,clear sky
323,Pacific Grove,US,36.6177,-121.9166,60.73,87,75,6.91,broken clouds
324,Richmond Hill,CA,43.8711,-79.4372,41.63,73,95,5.5,overcast clouds
325,Samarai,PG,-10.6167,150.6667,84.18,73,96,18.48,overcast clouds
326,Oistins,BB,13.0667,-59.5333,78.89,69,40,18.41,scattered clouds
327,Yanam,IN,16.7333,82.2167,84.97,66,96,4.63,overcast clouds
328,Greenfield,US,42.9614,-88.0126,42.71,79,100,5.75,overcast clouds
329,Raudeberg,NO,61.9875,5.1352,30.87,94,100,19.37,overcast clouds
330,Alyangula,AU,-13.8483,136.4192,89.47,70,40,5.75,scattered clouds
331,Arraial Do Cabo,BR,-22.9661,-42.0278,76.28,89,1,14.61,clear sky
332,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.88,99,100,1.1,light rain
333,Nimaparha,IN,20.0667,86.0167,82.8,58,73,12.97,broken clouds
334,Namatanai,PG,-3.6667,152.4333,85.41,68,71,13.06,light rain
335,Villarrica,PY,-25.75,-56.4333,69.49,98,24,3.8,few clouds
