City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Urucui,BR,2022-04-02 22:05:28,-7.2294,-44.5561,77.38,84,60,3.49
168,Kavieng,PG,2022-04-02 21:57:26,-2.5744,150.7967,78.46,86,100,10.49
169,Wanparti,IN,2022-04-02 22:05:28,16.3667,78.0667,81.3,41,7,4.68
170,Hobart,AU,2022-04-02 22:05:27,-42.8794,147.3294,57.06,84,100,8.05
171,Hithadhoo,MV,2022-04-02 22:05:29,-0.6,73.0833,82.89,70,9,6.4
172,Olga,RU,2022-04-02 22:05:29,43.7444,135.2892,36.88,53,0,3.96
173,Bardiyah,LY,2022-04-02 22:05:30,31.7561,25.0865,66.74,46,100,9.04
174,Labuhan,ID,2022-04-02 22:05:30,-6.8844,112.2051,78.1,83,100,4.43
175,Airai,TL,2022-04-02 21:57:30,-8.9266,125.4092,56.55,67,59,1.95
176,Bolgatanga,GH,2022-04-02 22:05:31,10.7856,-0.8514,92.19,34,100,6.71
177,Los Llanos De Aridane,ES,2022-04-02 22:04:23,28.6585,-17.9182,60.55,81,40,3.44
178,Hauterive,FR,2022-04-02 22:05:31,46.0901,3.4459,34.56,97,100,7.43
179,Onalaska,US,2022-04-02 22:05:32,43.8844,-91.2351,48.06,74,20,6.91
180,Qazvin,IR,2022-04-02 22:05:32,36.2797,50.0049,56.82,44,0,6.91
181,Itumbiara,BR,2022-04-02 22:05:33,-18.4192,-49.2153,77.83,63,11,2.55
182,Ilo,PE,2022-04-02 22:05:33,-17.6394,-71.3375,69.15,78,100,5.91
183,San Martin,AR,2022-04-02 22:06:34,-33.081,-68.4681,73.11,20,0,9.89
184,Wamba,NG,2022-04-02 22:06:34,8.9333,8.6,82.72,43,100,3.15
185,Hanover,DE,2022-04-02 22:06:21,52.3705,9.7332,34.2,54,0,3.44
186,Mikkeli,FI,2022-04-02 22:06:35,61.6886,27.2723,21.15,79,0,2.3
187,Roald,NO,2022-04-02 22:06:35,62.5833,6.1333,38.75,93,40,4.61
188,Kirovskiy,RU,2022-04-02 22:06:36,45.0917,133.5136,35.33,65,23,6.55
189,Mehamn,NO,2022-04-02 22:06:36,71.0357,27.8492,27.52,85,100,20.02
190,Katsuura,JP,2022-04-02 22:06:37,35.1333,140.3,53.82,72,100,10.8
191,Chimore,BO,2022-04-02 22:06:37,-16.9833,-65.1333,72.9,75,9,1.57
192,Ternate,ID,2022-04-02 22:06:38,0.8,127.4,79.48,79,77,3.06
193,Elizabeth City,US,2022-04-02 22:06:38,36.2946,-76.2511,57.22,62,0,16.11
194,Senneterre,CA,2022-04-02 22:06:39,48.3835,-77.2328,33.26,89,100,4.52
195,Tilichiki,RU,2022-04-02 22:06:39,60.4667,166.1,18.41,89,100,9.57
196,Komsomolskiy,UZ,2022-04-02 22:06:40,40.4272,71.7189,59.81,41,1,1.83
197,Souillac,MU,2022-04-02 22:06:40,-20.5167,57.5167,76.93,89,100,14.27
198,Mawlaik,MM,2022-04-02 22:06:41,23.6333,94.4167,72.91,83,84,2.68
199,Campo Do Brito,BR,2022-04-02 22:06:42,-10.7333,-37.4933,74.07,84,65,6.24
200,Correntina,BR,2022-04-02 22:06:42,-13.3433,-44.6367,76.77,38,1,3.06
201,Magadan,RU,2022-04-02 22:03:17,59.5667,150.8,15.6,73,100,4.7
202,Kampot,KH,2022-04-02 22:06:43,10.6167,104.1833,77.05,93,100,11.68
203,Shebunino,RU,2022-04-02 22:06:43,46.4339,141.8603,40.08,75,22,18.34
